tt,BrandLocale,CL-IT,EL-ZA,MC-BE,MC-DE,BB-FR,EL-IT
1,ID,test123@test.com,test123@test.com,,test123@test.com,test123@test.com,test123@test.com
1,skuId1,SKU68954,SKU45629,SKU101845,SKU118949,SKU139266,SKU118860
1,skuId2,SKU111541,SKU134115,SKU55526,SKU129823,SKU140149,SKU110866
1,skuId3,SKU128576,SKU20723,SKU55513,SKU129824,SKU167705,SKU121015
1,skuId4,SKU13037,SKU125706,SKU150007,SKU129848,SKU156230,SKU72579
1,skuId5,SKU101199,SKU112682,SKU53960,SKU129842,SKU140133,SKU66467
1,REGNAME, ,DO NOT SHIP,,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS,BRADLEY STREET,1265 Langley St,Chaussee d Ixelles,1265 Langley St,74 Rue de Strasbourg,VIALE SABATINI CAMILLO 130
1,ADDRESS2,12,,66,23,Strasbourg,22
1,PHONE,123456789,8516729491,3223420536,8516729491,8516729491,3110000000
1,ZIPCODE,20230,6529,1050,60594,44000,22012
1,STATE,BERGAMO,Western Cape,,Western Cape,Western Cape,Milan
1,CITY,ROMA,George East,BRUSSEL,George East,George East,Cernobbio
1,SUBDISTRICT, ,,,,,
1,STREET, ,,,,,
1,CCHOLDERNAME,LUIGGI ROSSI,Publienew,testing card,Publienew,testing card,Publienew
1,CREDITCARD,4111 1111 1111 1111,5555 5555 5555 4444,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111
1,CVV,737,111,123,737,123,111
1,CCMONTH,'03-30,,,330,1230,1230
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,TITLE,Sig.a,Mr,Mr,Mr,Mr,Mr
1,CCMON,3,,,,,
1,CCYEAR,30,,,,,
1,CCNAME,,,,Publienew,,
1,PAYMENTMETHOD, ,,Visa,,,
1,CCM, ,3,7,1,12,1
1,CCY, ,2030,30,2025,30,2025
1,CCBANK, ,,,,,
1,BIRTHYEAR, ,1999,,1999,1999,1999
1,BIRTHMONTH, ,2,,2,2,2
1,BIRTHDAY, ,1,,1,1,1
1,ORDERCONFIRMURL,/checkout/confirm.tmpl,/checkout/checkout.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,TOBECONFIRMPC, ,,Pending,,,
1,WELCOMEOFFER1,welcome15,lyl_15_since,lyl_be_welcome,lover,lyl_welcomeoffer,elist20
1,BIRTHDAYOFFER1,birthday10,lyl_bday1,lyl_be_birthday_lover,lyl_bday1,lyl_bday1,lyl_bday_points_20
1,BIRTHDAYOFFER2, ,lyl_bday2,,lyl_bday2,lyl_bday2,
1,TIER1STATUS,SMART,BE EXCITED,LOVER,LOVER,LOVER,LOVER
1,TIER2STATUS,BRILLIANT,BE ENTHUSIASTIC,SEDUCED,DEVOTED,DEVOTED,DEVOTED
1,TIER3STATUS,GENIUS,BE ENVIED,DEVOTED,OBSESSED,OBSESSED,OBSESSED
1,TIER4STATUS, ,,OBSESSED,,,
1,EARNPNT1,1,1,1,1,1,1
1,EARNPNT2,1,1,1,1,1,1
1,EARNPNT3,1,1,1,1,1,1
1,BDAYBONUS, ,2,,1,1,1
1,WELPERC,,,,,,0.15
1,BDAYPOINT1,,,,,,20
1,BDAYPOINT2,,,,,,20
1,TIER2UPBONUS, ,0,,0,0,0
1,TESTFLATPNT, ,0,,0,0,0
1,TESTOFFER1,1,NA,,NA,NA,NA
1,TESTOFFER2,regalo100,NA,,NA,NA,NA
1,TESTOFFER3,1,NA,,2xoffer,NA,NA
1,TESTOFFER4,1,NA,,NA,NA,NA
1,TESTPNT1,0,0,,0,0,0
1,TESTPNT2,-100,0,,0,0,0
1,TESTPNT3,0,0,,0,0,0
1,BRLOC,CL-IT,EL-ZA,MC-BE,MC-DE,BB-FR,EL-IT
1,CurSymbol,€,R,€,€,€,€
1,OffType1, ,,Welcome,,,
1,BdayYear,1980,,1990,,,
1,TESTPNT4,0,,,,,
1,INDXEXPCTMSG,,,,Loyaty index page displayed,,
1,INDXNEGMSG,,,,Loyaty index page not displayed/Enrolment not done,,
