tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,JM-US,MC-FR
1,BrandLocaleList,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,JM-US,MC-FR
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,437 W 53rd St,130 Bloor Street West,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,40 W 23rd St,130 Bloor Street West,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,130 Bloor Street West,40 w 23rd Street,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,601 Indiana Ave NW,
1,ADDRESS2,437 W 53rd St,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,251 W 121st St,1511 Bonaventure Dr SE,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,601 Indiana Ave NW,
1,PHONE,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,9899879909,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,5512479600,2639956358
1,CITY,,Toronto,New York,Toronto,,Toronto,,,Toronto,New York,New York,Toronto,Toronto,New York,Toronto,,Toronto,New York,Toronto,,Toronto,,New York,New York,New York,New York,Toronto,,
1,MSTATE,,Ontario,NY,ON,,Ontario,,,Ontario,New York,New York,Ontario,Ontario,New York,Ontario,,Ontario,NY,ON,,ON,New York,New York,NY,NY,NY,Ontario,,
1,CREDITCARD,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,5555 5555 5555 4444,2222 4000 3000 0004,5555 5555 5555 4444,2222 4000 1000 0008,2222 4000 3000 0004,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,55555 55555 55555 7,55555 55555 55555 7,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,55555 55555 55555 7,55555 55555 55555 7,2222 4000 3000 0004,4111 1111 1111 1111,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,
1,CVV,737,737,737,737,737,737,737,737,737,737,737,737,111,737,737,737,737,111,111,737,737,737,737,737,737,737,737,737,
1,CCMONTHFR,,,2,2,,,,,,,January,January,January,3,3,,,2,2,3,3,3,,,,,,,12
